,textID,tweet_text
0,1576058657447419904,RT @hadjalahbib: Asked my cabinet to summon the Russian ambassador. We conveyed to him that Belgium unequivocally condemns and will never a…
1,1576058657589952512,@LucasGage84 @baronitaigas What are you talking about. In 1991 they has referendums and they voted more than 80% to become independent. So now under attack by Russia which killed thousands to change their mind and love Russia. Also philosopher 😅 let the others to think that not YOU.
2,1576058657821069312,"RT @HadiNasrallah: Israel is supporting Human Rights in Iran and condemning occupation and annexation in Ukraine.

Joke of the decade."
3,1576058657917149184,@jcsrobinson @SportsTalkATL Ukraine would kill for a fun night like this.
4,1576058658336612352,"Ukrainians are fighting extremely hard and regaining territory. Anyone that believe Ukrainians would vote to be annexed is Delusional like  Putin. Putin have an excuse for his delusion, he is dying. https://t.co/TPEOqhojI8"
5,1576058659406086144,"RT @ukrainiansquad: Every time I watch this video I get an indescribable feeling of happiness❤️
#Ukraine️ 🇺🇦 https://t.co/7loH7bSbJS"
6,1576058659398127617,Sueñen; sus sueños humedos les quedaran en sus nalguitas chucas https://t.co/g06fOb4lq2
7,1576058659863265281,"RT @HondoResists: @DonaldJTrumpJr Junya, you're still spouting Putin's propaganda. He can't keep you out of prison this time, failson. http…"
8,1576058661209722882,"RT @sahouraxo: ""NATO is not a defense alliance, it's a war machine. Ask the people of Afghanistan, Iraq or Libya."" https://t.co/sk9wMJVzyl"
9,1576058661373644801,RT @YousefMunayyer: One lesson Russia and many others took from the US recognition of Jerusalem and the Golan annexation is that if you tak…
10,1576058661339729920,"RT @SilverSpookGuy: US mad about 95% approval of Russian annexation in Ukraine? The 'sham' is 95% of Hawaiians *rejected* annexation, and A…"
11,1576058661293953025,RT @0uttaS1TE: You will never guess what this is a reply to.
12,1576058661603942400,"RT @ANI: The West...began its colonial policy back in the Middle Ages, and then followed the slave trade, the genocide of Indian tribes in…"
13,1576058661654319104,"RT @DumoulinME: Alors non, en fait, les accords de Minsk ne prévoyaient pas ça. Petit sur🧵 ces accords, sans doute plus pour l'histoire qu'…"
14,1576058661965008896,"RT @disclosetv: NOW - Ukraine's president Zelensky signs #NATO application.

https://t.co/RJfFuPmZM4"
15,1576058662577061888,"RT @MargiNowak: Please share. No paywall.

Russian opposition leader Alexei Navalny is serving a nine-year sentence in a maximum-security p…"
16,1576058663235567617,"RT @isawthesethings: @AdamParkhomenko As Putin talks nuclear war:
GOP hopes you will forget ONLY change to their 2016 PARTY PLATFORM was FO…"
17,1576058663273652225,"RT @Chizoba1Mazi: ""SELF DETERMINATION IS A UNIVERSAL RIGHTS OF A PEOPLE ACCORDING TO UN ARTICLE""- PUTIN https://t.co/KCn0TW7nLK"
18,1576058663294631936,"RT @TristanSnell: The ""Greater Russia"" radical hawks in Putin's orbit also want Russia to annex or conquer ALASKA, which Russia sold to Ame…"
19,1576058663348817921,"@RanchHand0351 Putin has been intentionally grooming a Pre USA PRESIDENT- a stupid mailable idiotic narcissist Trumpet since 1977! Putin is supremely confident of his genius ideas-  after forty plus years of flattering, brainwashing Trumpster &amp; kids to engage in all things Putin Money Russia!!"
20,1576058663617191937,RT @joshtpm: And now @CPAC has erased their tweet endorsing Russian annexation of “Ukrainian-occupied territories.” But here it is for post…
21,1576058664292843520,RT @joshtpm: And now @CPAC has erased their tweet endorsing Russian annexation of “Ukrainian-occupied territories.” But here it is for post…
22,1576058664326426624,"RT @Apuntes_: A 9 kilómetros de Lyman, donde el ejército ruso está embolsado por las Fuerzas Armadas de Ucrania... los que no huyeron."
23,1576058664397389828,"RT @edotedge: Ukraine war: Biden says US will not be intimidated by reckless Putin
https://t.co/SVvVFnJClt"
24,1576058664611631104,RT @EmpressNorton: @davidfrum Such an odd statement. Their very first sentence tells the difference between the invasion of Ukraine and the…
25,1576058664502190087,"@BorisJohnson It’s obvious that the latest actions of Russia and Putin’s yesterday speech have shaken the West. I see primarily many Western leaders upset, concerned and utterly worried.. (in this particular tweet an ex-leader/🤡 who was virtually forced to resign!)"
26,1576058665068396544,RT @khoshakhlag: Israel Is Selling Weapons to UAE but not to Ukraine https://t.co/jnt7Q1oVJW via @YouTube
27,1576058664737067008,"China can arm Pak. India should not complain of such unnecessary stuff until such arms are found in Indian territory brought by terrorists from Pak, which is already happening. So there is the point. https://t.co/g8bKJOsG7b"
28,1576058665177534464,"RT @Ukraine: Six obvious truths:

1. Luhansk region is Ukraine
2. Donetsk region is Ukraine
3. Zaporizhzhia region is Ukraine
4. Kherson re…"
29,1576058665496236033,RT @Exusnx: What rules are we speaking of? Who agreed on these rules that the West declared? These are all lies. These are all double stand…
30,1576058665483653121,@GordinSuzie @lynnwa Ukraine
31,1576058665702158337,"RT @AhmadFaezal4: “Putin Tak Peduli Apa Barat Nak Kata” 

Putin dah umumkan empat wilayah Ukraine sekarang dah jadi hak milik Rusia. Semua…"
32,1576058665760567296,@Breaking911 Did you ask the NATO allies? They're struggling to keep their phones charged right now man.
33,1576058665727295489,Slava Ukraine 🇺🇦 https://t.co/XcVm5auF0B
34,1576058666436165632,RT @djrothkopf: Putin hoped his demented menacing speech today would  win him the support he needs to enable him to declare some kind of vi…
35,1576058666553585665,"RT @aaronjmate: NYT: With a new $12.3 billion OK'd, ""Congress has now committed more military aid to Ukraine than it has to any country in…"
36,1576058666746118144,"RT @ZelenskaUA: #Запоріжжя. Росія вдарила по гуманітарній автоколоні. Загинуло 25 людей, які просто хотіли допомогти: забрати рідних з окуп…"
37,1576058667140804609,"RT @GemVader: 💬 #AMAZY community is now in your country!

Guys, @amazyio community is filling up with new cool people from all over the wor…"
38,1576058667291807744,"RT @KyivIndependent: ⚡️Zelensky: Ukraine won't negotiate with Putin.

Ukraine offered Russia ""to agree on coexistence on equal, honest, dig…"
39,1576058667295592448,"RT @KyivIndependent: ""De facto, we have already become a NATO ally. We trust each other, we help each other, and we protect each other. Thi…"
